Id;Semana;Dias;Meses;Año;Lpo;Mpo;Spo;S3npo;S2npo;S1npo;S0po;S1po;S2po;S3po;Lto;Mto;Sto;S3nto;S2nto;S1nto;S0to;S1to;S2to;S3to;Lpa;Mpa;Spa;S3npa;S2npa;S1npa;S0pa;S1pa;S2pa;S3pa;Lta;Mta;Sta;S3nta;S2nta;S1nta;S0ta;S1ta;S2ta;S3ta
21;-1;213;7;0.583;0.113;8.297;0.109;5.9;6.7;7.4;8.3;9.2;10.3;11.4;1;69.16;0.031;62.7;64.8;67;69.2;71.3;73.5;75.7;-0.104;7.642;0.122;5.3;6;6.8;7.6;8.6;9.8;11.1;1;67.29;0.034;60.3;62.7;65;67.3;69.6;71.9;74.2
22;-1;244;8;0.667;0.102;8.615;0.109;6.2;6.9;7.7;8.6;9.6;10.7;11.9;1;70.6;0.031;64;66.2;68.4;70.6;72.8;75;77.2;-0.129;7.949;0.122;5.6;6.3;7;7.9;9;10.2;11.6;1;68.75;0.034;61.7;64;66.4;68.7;71.1;73.5;75.8
23;-1;274;9;0.75;0.092;8.901;0.109;6.4;7.1;8;8.9;9.9;11;12.3;1;71.97;0.031;65.2;67.5;69.7;72;74.2;76.5;78.7;-0.151;8.225;0.122;5.8;6.5;7.3;8.2;9.3;10.5;12;1;70.14;0.034;62.9;65.3;67.7;70.1;72.6;75;77.4
24;-1;304;10;0.833;0.082;9.165;0.109;6.6;7.4;8.2;9.2;10.2;11.4;12.7;1;73.28;0.031;66.4;68.7;71;73.3;75.6;77.9;80.1;-0.17;8.48;0.122;5.9;6.7;7.5;8.5;9.6;10.9;12.4;1;71.48;0.035;64.1;66.5;69;71.5;73.9;76.4;78.9
25;-1;335;11;0.917;0.073;9.412;0.109;6.8;7.6;8.4;9.4;10.5;11.7;13;1;74.54;0.031;67.6;69.9;72.2;74.5;76.9;79.2;81.5;-0.187;8.719;0.122;6.1;6.9;7.7;8.7;9.9;11.2;12.8;1;72.77;0.035;65.2;67.7;70.3;72.8;75.3;77.8;80.3
26;-1;365;12;1;0.064;9.648;0.109;6.9;7.7;8.6;9.6;10.8;12;13.3;1;75.75;0.031;68.6;71;73.4;75.7;78.1;80.5;82.9;-0.202;8.948;0.123;6.3;7;7.9;8.9;10.1;11.5;13.1;1;74.02;0.035;66.3;68.9;71.4;74;76.6;79.2;81.7
27;-1;396;13;1.083;0.056;9.875;0.109;7.1;7.9;8.8;9.9;11;12.3;13.7;1;76.92;0.032;69.6;72.1;74.5;76.9;79.3;81.8;84.2;-0.216;9.17;0.123;6.4;7.2;8.1;9.2;10.4;11.8;13.5;1;75.22;0.035;67.3;70;72.6;75.2;77.8;80.5;83.1
28;-1;426;14;1.167;0.049;10.095;0.11;7.2;8.1;9;10.1;11.3;12.6;14;1;78.05;0.032;70.6;73.1;75.6;78;80.5;83;85.5;-0.228;9.387;0.123;6.6;7.4;8.3;9.4;10.6;12.1;13.8;1;76.38;0.035;68.3;71;73.7;76.4;79.1;81.7;84.4
29;-1;457;15;1.25;0.041;10.311;0.11;7.4;8.3;9.2;10.3;11.5;12.8;14.3;1;79.15;0.032;71.6;74.1;76.6;79.1;81.7;84.2;86.7;-0.238;9.601;0.123;6.7;7.6;8.5;9.6;10.9;12.4;14.1;1;77.51;0.035;69.3;72;74.8;77.5;80.2;83;85.7
30;-1;487;16;1.333;0.034;10.523;0.11;7.5;8.4;9.4;10.5;11.7;13.1;14.6;1;80.21;0.032;72.5;75;77.6;80.2;82.8;85.4;88;-0.248;9.812;0.123;6.9;7.7;8.7;9.8;11.1;12.6;14.5;1;78.61;0.036;70.2;73;75.8;78.6;81.4;84.2;87
31;-1;517;17;1.417;0.028;10.732;0.111;7.7;8.6;9.6;10.7;12;13.4;14.9;1;81.25;0.033;73.3;76;78.6;81.2;83.9;86.5;89.2;-0.256;10.023;0.123;7;7.9;8.9;10;11.4;12.9;14.8;1;79.67;0.036;71.1;74;76.8;79.7;82.5;85.4;88.2
32;-1;548;18;1.5;0.021;10.939;0.111;7.8;8.8;9.8;10.9;12.2;13.7;15.3;1;82.26;0.033;74.2;76.9;79.6;82.3;85;87.7;90.4;-0.264;10.232;0.123;7.2;8.1;9.1;10.2;11.6;13.2;15.1;1;80.71;0.036;72;74.9;77.8;80.7;83.6;86.5;89.4
33;-1;578;19;1.583;0.015;11.143;0.112;8;8.9;10;11.1;12.5;13.9;15.6;1;83.24;0.033;75;77.7;80.5;83.2;86;88.8;91.5;-0.27;10.439;0.123;7.3;8.2;9.2;10.4;11.8;13.5;15.4;1;81.72;0.036;72.8;75.8;78.8;81.7;84.7;87.6;90.6
34;-1;609;20;1.667;0.009;11.346;0.112;8.1;9.1;10.1;11.3;12.7;14.2;15.9;1;84.2;0.033;75.8;78.6;81.4;84.2;87;89.8;92.6;-0.276;10.646;0.123;7.5;8.4;9.4;10.6;12.1;13.7;15.7;1;82.7;0.036;73.7;76.7;79.7;82.7;85.7;88.7;91.7
35;-1;639;21;1.75;0.003;11.549;0.113;8.2;9.2;10.3;11.5;12.9;14.5;16.2;1;85.13;0.034;76.5;79.4;82.3;85.1;88;90.9;93.8;-0.282;10.853;0.123;7.6;8.6;9.6;10.9;12.3;14;16;1;83.67;0.037;74.5;77.5;80.6;83.7;86.7;89.8;92.9
36;-1;670;22;1.833;-0.003;11.75;0.113;8.4;9.4;10.5;11.8;13.2;14.7;16.5;1;86.05;0.034;77.2;80.2;83.1;86;89;91.9;94.9;-0.286;11.061;0.124;7.8;8.7;9.8;11.1;12.5;14.3;16.4;1;84.6;0.037;75.2;78.4;81.5;84.6;87.7;90.8;94
